study	unique_study_id	file	chr	bp	min_p	cis_trans	ld_block	known_gene
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_8_58399138_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_8_58480178_1.tsv.gz	8	58399138	1.1219899999999999e-10	trans	EUR/8/56595548-59068223	ITGB7
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_8_60738272_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_8_60738272_1.tsv.gz	8	60724328	1.2449262691180463e-21	NA	EUR/8/59068223-61096254	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_8_60738272_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_8_60738272_2.tsv.gz	8	60761996	2.0172304912883765e-23	NA	EUR/8/59068223-61096254	NA
qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1	qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1_EUR_8_60435036_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1/finemapped/EUR_8_60637051_1.tsv.gz	8	60435036	3.7017e-16	trans	EUR/8/59068223-61096254	ITGB6
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_8_72537705_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_8_72537705_1.tsv.gz	8	72522470	4.320430337479657e-24	NA	EUR/8/72257032-72924821	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_8_129587001_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_8_129587001_1.tsv.gz	8	129587001	2.105730872772923e-56	NA	EUR/8/127646000-129685072	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_8_129587001_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_8_129587001_3.tsv.gz	8	127990173	1.1557576860846497e-55	NA	EUR/8/127646000-129685072	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_8_134564765_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_8_134564765_1.tsv.gz	8	134564765	2.535128630497908e-22	NA	EUR/8/134397226-136298929	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_8_144103704_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_8_144103704_1.tsv.gz	8	144103704	2.2192492244361186e-38	NA	EUR/8/143133213-145075767	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_9_5028921_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_9_5028921_3.tsv.gz	9	4998401	1.4683959919546523e-46	NA	EUR/9/3996794-5557422	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_9_6192796_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_9_6192796_1.tsv.gz	9	6197392	0	NA	EUR/9/5557422-7376754	NA
qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1	qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1_EUR_9_33117967_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1/finemapped/EUR_9_33117967_1.tsv.gz	9	33117967	1.52195e-31	trans	EUR/9/32738472-35906658	ITGB2
qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1	qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1_EUR_9_33122628_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1/finemapped/EUR_9_33148836_1.tsv.gz	9	33122628	1.33659e-15	trans	EUR/9/32738472-35906658	ITGB6
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_9_33122647_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_9_33140978_1.tsv.gz	9	33122647	2.4293899999999988e-20	trans	EUR/9/32738472-35906658	ITGB7
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_9_91206358_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_9_91359048_1.tsv.gz	9	91206358	1.3999096265683332e-39	NA	EUR/9/90896966-92118238	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_9_110875956_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_9_110879503_1.tsv.gz	9	110875956	1e-56	NA	EUR/9/110325860-112069748	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_9_114928478_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_9_114928478_1.tsv.gz	9	114885236	8.811813121504687e-26	NA	EUR/9/114257332-116276894	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_9_132989126_4	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_9_132989126_4.tsv.gz	9	133266456	7.247552854431036e-22	NA	EUR/9/131671545-133622201	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_9_132989126_8	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_9_132989126_8.tsv.gz	9	132993199	8.411669999403675e-62	NA	EUR/9/131671545-133622201	NA
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_9_133266456_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_9_133279427_1.tsv.gz	9	133266456	3.50588e-31	trans	EUR/9/131671545-133622201	ITGB7
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_9_134060541_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_9_134058209_1.tsv.gz	9	134060541	3.2998940791083444e-24	NA	EUR/9/133622201-134697433	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_9_136430122_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_9_136492188_1.tsv.gz	9	136430122	8.300418697157017e-21	NA	EUR/9/136067443-136747654	NA
qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1	qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1_EUR_9_136446350_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1/finemapped/EUR_9_136491686_1.tsv.gz	9	136446350	3.80803e-24	trans	EUR/9/136067443-136747654	ITGB6
qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1	qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1_EUR_9_137464104_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1/finemapped/EUR_9_137464129_1.tsv.gz	9	137464104	1.55132e-17	trans	EUR/9/136747654-138221689	ITGB6
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_10_911271_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_10_930476_1.tsv.gz	10	911271	3.100273441998182e-47	NA	EUR/10/11501-1705475	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_10_6051176_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_10_6051176_1.tsv.gz	10	6030130	6.817244464192558e-21	NA	EUR/10/5353477-6576860	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_10_8554813_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_10_8554813_3.tsv.gz	10	8072425	1.0793763324443061e-22	NA	EUR/10/6576860-8733172	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_10_8554813_5	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_10_8554813_5.tsv.gz	10	8540354	2.6394663262104566e-31	NA	EUR/10/6576860-8733172	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_10_9016708_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_10_9016708_1.tsv.gz	10	8990592	1.1752983286537982e-27	NA	EUR/10/8733172-10502538	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_10_9016708_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_10_9016708_2.tsv.gz	10	9012726	1.69350066629406e-31	NA	EUR/10/8733172-10502538	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_10_9016708_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_10_9016708_3.tsv.gz	10	9011110	6.204673507363982e-106	NA	EUR/10/8733172-10502538	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_10_9016708_5	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_10_9016708_5.tsv.gz	10	8965837	6.455044543701115e-22	NA	EUR/10/8733172-10502538	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_10_9016708_7	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_10_9016708_7.tsv.gz	10	9001494	9.61393963473463e-31	NA	EUR/10/8733172-10502538	NA
qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1	qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1_EUR_10_17818565_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1/finemapped/EUR_10_17833858_1.tsv.gz	10	17818565	2.3899375655524996e-21	trans	EUR/10/16509768-18247798	ITGB2
qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1	qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1_EUR_10_17817694_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1/finemapped/EUR_10_17833858_1.tsv.gz	10	17817694	4.1723453721854196e-14	trans	EUR/10/16509768-18247798	ITGB6
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_10_26446058_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_10_26446058_1.tsv.gz	10	26438309	2.2783113463539847e-83	NA	EUR/10/25709995-26597717	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_10_28491364_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_10_28491364_1.tsv.gz	10	28491364	5.300294488357952e-50	NA	EUR/10/28447474-29996990	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_10_62637778_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_10_62637778_1.tsv.gz	10	62637778	7.299615757292895e-97	NA	EUR/10/61150606-64035328	NA
qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1	qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1_EUR_10_63256414_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1/finemapped/EUR_10_63344740_1.tsv.gz	10	63256414	3.0255199999999997e-35	trans	EUR/10/61150606-64035328	ITGB5
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_10_87938433_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_10_87938433_1.tsv.gz	10	87938433	2.5258895740627206e-32	NA	EUR/10/87392430-89889663	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_10_92669710_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_10_92669710_2.tsv.gz	10	92669710	1.6833220267413277e-43	NA	EUR/10/89889663-93087358	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_10_103009635_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_10_103009635_1.tsv.gz	10	103009635	6.2878116786117145e-25	NA	EUR/10/100331627-104382250	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_11_309127_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_11_309127_1.tsv.gz	11	309127	3.1905387170855896e-77	NA	EUR/11/128446-2028171	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_11_309127_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_11_309127_3.tsv.gz	11	324880	5.488498763422911e-40	NA	EUR/11/128446-2028171	NA
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_11_308180_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_11_308180_1.tsv.gz	11	308180	1.4236699999999997e-10	trans	EUR/11/128446-2028171	ITGB7
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_11_2837316_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_11_2837316_1.tsv.gz	11	2837316	1.753072995971444e-45	NA	EUR/11/2028171-4444924	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_11_27658369_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_11_27658369_1.tsv.gz	11	27658369	2.9349452222697737e-58	NA	EUR/11/26449131-29508700	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_11_43825939_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_11_43825939_1.tsv.gz	11	43794650	2.0453060890593836e-22	NA	EUR/11/40700059-44271197	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_11_47413435_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_11_47413435_1.tsv.gz	11	47413435	8.145167130226222e-25	NA	EUR/11/46868162-54537872	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_11_57378752_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_11_57378752_1.tsv.gz	11	57378752	1.1795100211573573e-37	NA	EUR/11/56199647-60340200	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_11_57378752_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_11_57378752_2.tsv.gz	11	57392301	3.800534122564202e-21	NA	EUR/11/56199647-60340200	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_11_61839211_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_11_61839211_1.tsv.gz	11	61790331	5.3182346837726134e-27	NA	EUR/11/60340200-63591911	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_11_65897729_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_11_65897729_1.tsv.gz	11	65897729	9.575120720526203e-34	NA	EUR/11/63591911-66158645	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_11_67257063_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_11_67257063_2.tsv.gz	11	67132148	7.083499657110992e-26	NA	EUR/11/66158645-69043369	NA
qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1	qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1_EUR_11_72139110_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB5:P18084:OID21522:v1/finemapped/EUR_11_72139110_1.tsv.gz	11	72139110	2.2477000000000006e-202	trans	EUR/11/70534514-73239514	ITGB5
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_11_76582682_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_11_76582682_1.tsv.gz	11	76628620	7.601329431258063e-23	NA	EUR/11/73239514-76634466	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_11_76582682_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_11_76582682_2.tsv.gz	11	76582682	4.162440425351811e-87	NA	EUR/11/73239514-76634466	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_11_76582682_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_11_76582682_3.tsv.gz	11	76537586	6.735034513957497e-38	NA	EUR/11/73239514-76634466	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_11_76657283_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_11_76657283_2.tsv.gz	11	76657283	4.8570876644875895e-42	NA	EUR/11/76634466-77086736	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_11_108270182_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_11_108270182_1.tsv.gz	11	108153609	7.507254778231034e-38	NA	EUR/11/108041323-112588388	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_11_116920591_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_11_116920591_1.tsv.gz	11	116920591	6.3037623437123474e-24	NA	EUR/11/114145359-118153413	NA
qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1	qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1_EUR_11_126362291_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1/finemapped/EUR_11_126375250_1.tsv.gz	11	126362291	7.68069e-15	trans	EUR/11/125104692-126441018	ITGB2
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_11_126364925_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_11_126364925_1.tsv.gz	11	126231716	3.9125421085539333e-11	trans	EUR/11/125104692-126441018	ITGB7
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_11_126364925_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_11_126364925_2.tsv.gz	11	126362442	2.0058755678022893e-42	trans	EUR/11/125104692-126441018	ITGB7
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_11_128315955_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_11_128315955_1.tsv.gz	11	128315955	5.475269428361197e-44	NA	EUR/11/127807979-128319256	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_11_128723386_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_11_128723386_2.tsv.gz	11	128723386	4.3652217972540097e-26	NA	EUR/11/128319256-129543969	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_12_4275678_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_12_4275678_1.tsv.gz	12	4275678	4.662728349016126e-48	NA	EUR/12/2966314-4309514	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_12_4209557_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_12_4209557_1.tsv.gz	12	4209557	1.8610719939973805e-27	NA	EUR/12/2966314-4309514	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_12_4209557_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_12_4209557_2.tsv.gz	12	4220902	3.9235327478564592e-22	NA	EUR/12/2966314-4309514	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_12_6333180_4	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_12_6333180_4.tsv.gz	12	6383934	2.0658275371174508e-21	NA	EUR/12/5914520-8604885	NA
qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1	qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1_EUR_12_7418001_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1/finemapped/EUR_12_7440280_1.tsv.gz	12	7418001	8.937159999999999e-12	trans	EUR/12/5914520-8604885	ITGBL1
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_12_49869365_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_12_49869365_1.tsv.gz	12	49869365	2.2238218856158596e-46	NA	EUR/12/48762437-51382710	NA
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_12_53199848_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_12_53199848_1.tsv.gz	12	53198668	1.928611258805316e-33	cis	EUR/12/52559329-53989716	ITGB7
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_12_53199848_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_12_53199848_2.tsv.gz	12	53147550	2.653212223869073e-18	cis	EUR/12/52559329-53989716	ITGB7
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_12_56080595_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_12_56080595_1.tsv.gz	12	56080595	1.1050959823315344e-21	NA	EUR/12/53989716-57143206	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_12_57099944_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_12_57099944_3.tsv.gz	12	57095926	2.0116671769887243e-35	NA	EUR/12/53989716-57143206	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_12_57099944_4	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_12_57099944_4.tsv.gz	12	55974924	6.824338807481414e-30	NA	EUR/12/53989716-57143206	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_12_65949620_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_12_65949620_1.tsv.gz	12	65949620	7.308024590091052e-35	NA	EUR/12/64125296-65977601	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_12_93591706_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_12_93591706_1.tsv.gz	12	93742233	2.771129174542805e-43	NA	EUR/12/91849133-94529398	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_12_93591706_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_12_93591706_2.tsv.gz	12	93583178	2.3391846139527983e-29	NA	EUR/12/91849133-94529398	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_12_93591706_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_12_93591706_3.tsv.gz	12	93683504	2.195592910757314e-21	NA	EUR/12/91849133-94529398	NA
qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1	qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1_EUR_12_103753429_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1/finemapped/EUR_12_103753429_1.tsv.gz	12	103753429	9.384974782912447e-16	trans	EUR/12/103736758-105970320	ITGBL1
qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1	qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1_EUR_12_103753429_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1/finemapped/EUR_12_103753429_2.tsv.gz	12	103742511	3.531325412072203e-13	trans	EUR/12/103736758-105970320	ITGBL1
qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1	qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1_EUR_12_103753429_5	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1/finemapped/EUR_12_103753429_5.tsv.gz	12	105221494	4.828313960384687e-22	trans	EUR/12/103736758-105970320	ITGBL1
qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1	qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1_EUR_12_103753429_6	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGBL1:O95965:OID30408:v1/finemapped/EUR_12_103753429_6.tsv.gz	12	105131127	9.162236560056072e-11	trans	EUR/12/103736758-105970320	ITGBL1
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_12_111395984_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_12_111395984_1.tsv.gz	12	111395984	0	NA	EUR/12/108876352-112823299	NA
qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1	qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1_EUR_12_111446804_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1/finemapped/EUR_12_111446804_1.tsv.gz	12	111446804	1.2621199999999999e-64	trans	EUR/12/108876352-112823299	ITGB2
qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1	qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1_EUR_12_111395984_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB6:P18564:OID20493:v1/finemapped/EUR_12_111427245_1.tsv.gz	12	111395984	5.25775e-14	trans	EUR/12/108876352-112823299	ITGB6
